activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
15879,69,official,20200101,anonymous,A,2,1,0
15902,91,official,20200101,anonymous,A,2,1,0
15899,92,official,20200101,anonymous,H,1,1,0
16171,123,official,20200101,anonymous,A,1,1,0
16150,175,official,20200101,anonymous,H,1,1,0
16174,93,official,20200101,anonymous,A,2,1,0
16185,11,official,20200101,anonymous,A,2,1,0
16169,174,official,20200101,anonymous,A,2,1,0
16170,69,official,20200101,anonymous,H,1,1,0
16181,91,official,20200101,anonymous,H,1,1,0
16262,92,official,20200101,anonymous,H,2,1,0
16245,153,official,20200101,anonymous,H,1,1,0
16166,127,official,20200101,anonymous,H,2,1,0
16198,165,official,20200101,anonymous,A,2,1,0
16187,136,official,20200101,anonymous,A,1,1,0
16196,86,official,20200101,anonymous,A,2,1,0
16210,8,official,20200101,anonymous,A,1,1,0
16457,11,official,20200101,anonymous,H,1,1,0
16474,123,official,20200101,anonymous,H,1,1,0
16477,165,official,20200101,anonymous,A,2,1,0
16469,93,official,20200101,anonymous,H,1,1,0
16473,174,official,20200101,anonymous,A,2,1,0
16562,92,official,20200101,anonymous,A,1,1,0
16486,8,official,20200101,anonymous,H,1,1,0
