activity_id,player_period,form_period,role_period,session,start_dt,end_dt,duration,player_id,squad_num,player_name,base_role,x,y,formation,aligned_role
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1287,13,P13,6,329.0,-1600.0,352,RWB
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1305,18,P18,10,1499.0,-432.0,352,RCF
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1308,23,P23,2,-327.0,-1934.0,352,RCB
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1297,24,P24,7,-59.0,69.0,352,CDM
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1895,27,P27,8,-299.0,2020.0,352,LWB
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1309,40,P40,9,-1140.0,-86.0,352,CB
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1926,72,P72,4,1623.0,728.0,352,LCF
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1278,2,P02,1,-1017.0,1047.0,352,LCB
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1279,3,P03,5,-1059.0,-774.0,352,RCM
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1287,13,P13,6,329.0,-1600.0,352,RWB
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1290,16,P16,3,451.0,962.0,352,LCM
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1305,18,P18,4,1623.0,728.0,352,LCF
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1308,23,P23,2,-327.0,-1934.0,352,RCB
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1297,24,P24,7,-59.0,69.0,352,CDM
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1895,27,P27,8,-299.0,2020.0,352,LWB
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1309,40,P40,9,-1140.0,-86.0,352,CB
1958,5,2,5,2,2020-01-01 17:49:00,2020-01-01 17:51:00,120,1926,72,P72,10,1499.0,-432.0,352,RCF
